#{"t_start": 1715068200.5146403, "env_id": "None"}
r,l,t
-9.002997,30,209.353871
-6.003,30,209.353871
5.9982,18,209.429888
5.4978995,21,209.587923
4.9978,22,209.904994
5.9988,12,210.539138
5.9983,17,210.539138
5.9985,15,210.622156
2.4974022,26,210.854208
5.9986,14,211.665391
-6.5030003,30,211.745409
-6.003,30,211.745409
-6.003,30,211.745409
-6.003,30,211.745409
-6.5030003,30,211.745409
3.497502,25,212.180507
5.9982,18,212.336543
5.9984,16,212.412559
3.997602,24,212.72663
5.999,10,213.176731
5.4979997,20,213.488801
2.997502,25,214.127945
5.9982,18,214.127945
3.997602,24,214.203963
5.9985,15,214.360009
-6.5030003,30,214.360009
-6.003,30,214.360009
-12.003002,30,214.360009
-14.003002,30,214.360009
-6.003,30,214.360009
12.483995,160,214.523034
14.483792,162,215.064691
5.9982,18,215.232728
5.9987,13,215.541798
14.98419,158,215.542798
5.9985,15,215.625817
5.9984,16,215.95289
12.484098,159,216.186943
4.4976997,23,216.267961
5.4981,19,216.755071
5.9985,15,216.755071
-6.003,30,217.064141
-10.003002,30,217.064141
-6.003,30,217.064141
